,stage,feedbackOn,trialsComplete,famInd,features,rule,responseOrder,correctResponse,guess,confidence,correct,rt,pid,numTrainTrials,condition
0,interleaved_epochs,True,1,3,"[5, 6]",2d1,"[5, 3]",3,5,0.42,False,5898,0,216,interleaved
1,interleaved_epochs,True,2,4,"[4, 1]",2d1,"[6, 7]",6,7,0.64,False,4000,0,216,interleaved
2,interleaved_epochs,True,3,1,"[5, 2]",2d1,"[2, 0]",0,0,0.56,True,3887,0,216,interleaved
3,interleaved_epochs,True,4,1,"[1, 6]",2d1,"[2, 0]",2,0,0.52,False,3986,0,216,interleaved
4,interleaved_epochs,True,5,3,"[5, 5]",2d1,"[5, 3]",3,3,0.8,True,4328,0,216,interleaved
5,interleaved_epochs,True,6,4,"[4, 3]",2d1,"[7, 6]",6,6,0.79,True,3388,0,216,interleaved
6,interleaved_epochs,True,7,4,"[5, 5]",2d1,"[7, 6]",6,6,0.79,True,2837,0,216,interleaved
7,interleaved_epochs,True,8,3,"[2, 5]",2d1,"[3, 5]",5,3,1.0,False,3068,0,216,interleaved
8,interleaved_epochs,True,9,1,"[1, 4]",2d1,"[0, 2]",2,2,0.46,True,3468,0,216,interleaved
9,interleaved_epochs,True,10,3,"[5, 2]",2d1,"[3, 5]",3,3,0.43,True,3593,0,216,interleaved
10,interleaved_epochs,True,11,1,"[2, 5]",2d1,"[2, 0]",2,2,0.6000000000000001,True,4164,0,216,interleaved
11,interleaved_epochs,True,12,4,"[1, 5]",2d1,"[7, 6]",7,7,0.26,True,4034,0,216,interleaved
12,interleaved_epochs,True,13,4,"[4, 2]",2d1,"[7, 6]",6,6,0.59,True,3015,0,216,interleaved
13,interleaved_epochs,True,14,3,"[4, 6]",2d1,"[3, 5]",3,3,1.0,True,4503,0,216,interleaved
14,interleaved_epochs,True,15,1,"[4, 1]",2d1,"[2, 0]",0,0,1.0,True,2901,0,216,interleaved
15,interleaved_epochs,True,16,3,"[1, 5]",2d1,"[5, 3]",5,5,0.22,True,4978,0,216,interleaved
16,interleaved_epochs,True,17,4,"[2, 3]",2d1,"[6, 7]",7,7,0.34,True,4291,0,216,interleaved
17,interleaved_epochs,True,18,1,"[2, 2]",2d1,"[0, 2]",2,0,1.0,False,2710,0,216,interleaved
18,interleaved_epochs,True,19,1,"[6, 4]",2d1,"[0, 2]",0,0,1.0,True,2818,0,216,interleaved
19,interleaved_epochs,True,20,4,"[4, 6]",2d1,"[6, 7]",6,6,1.0,True,4437,0,216,interleaved
20,interleaved_epochs,True,21,3,"[3, 4]",2d1,"[5, 3]",5,3,1.0,False,3169,0,216,interleaved
21,interleaved_epochs,True,22,4,"[3, 3]",2d1,"[7, 6]",7,6,0.29,False,3091,0,216,interleaved
22,interleaved_epochs,True,23,1,"[4, 3]",2d1,"[2, 0]",0,0,1.0,True,4134,0,216,interleaved
23,interleaved_epochs,True,24,3,"[1, 1]",2d1,"[5, 3]",5,5,1.0,True,4840,0,216,interleaved
24,interleaved_epochs,True,25,1,"[5, 3]",2d1,"[2, 0]",0,0,1.0,True,3017,0,216,interleaved
25,interleaved_epochs,True,26,4,"[5, 3]",2d1,"[6, 7]",6,6,1.0,True,3522,0,216,interleaved
26,interleaved_epochs,True,27,3,"[6, 6]",2d1,"[5, 3]",3,3,0.54,True,4601,0,216,interleaved
27,interleaved_epochs,True,28,4,"[6, 6]",2d1,"[6, 7]",6,6,1.0,True,3321,0,216,interleaved
28,interleaved_epochs,True,29,1,"[1, 1]",2d1,"[0, 2]",2,2,0.5700000000000001,True,3717,0,216,interleaved
29,interleaved_epochs,True,30,3,"[3, 5]",2d1,"[5, 3]",5,3,0.37,False,3505,0,216,interleaved
30,interleaved_epochs,True,31,4,"[5, 6]",2d1,"[6, 7]",6,6,1.0,True,3653,0,216,interleaved
31,interleaved_epochs,True,32,1,"[5, 1]",2d1,"[0, 2]",0,0,1.0,True,3091,0,216,interleaved
32,interleaved_epochs,True,33,3,"[2, 1]",2d1,"[5, 3]",5,5,1.0,True,3638,0,216,interleaved
33,interleaved_epochs,True,34,4,"[6, 3]",2d1,"[6, 7]",6,6,1.0,True,2939,0,216,interleaved
34,interleaved_epochs,True,35,1,"[3, 2]",2d1,"[0, 2]",2,0,0.29,False,3344,0,216,interleaved
35,interleaved_epochs,True,36,3,"[2, 6]",2d1,"[3, 5]",5,5,0.32,True,4470,0,216,interleaved
36,interleaved_epochs,True,37,3,"[1, 4]",2d1,"[3, 5]",5,5,0.66,True,3826,0,216,interleaved
37,interleaved_epochs,True,38,1,"[4, 4]",2d1,"[0, 2]",0,0,0.27,True,3562,0,216,interleaved
38,interleaved_epochs,True,39,4,"[1, 4]",2d1,"[6, 7]",7,7,1.0,True,6312,0,216,interleaved
39,interleaved_epochs,True,40,1,"[6, 2]",2d1,"[0, 2]",0,0,1.0,True,3262,0,216,interleaved
