pid,condition,stage,feedbackOn,trialsComplete,famInd,features,rule,responseOrder,correctResponse,guess,confidence,correct,rt
55d6e23469dbc30010b66dc3,free,epochs,True,1,4,"[4, 6]",fi,"[6, 7]",7,6,0.27,False,14236
55d6e23469dbc30010b66dc3,free,epochs,True,2,1,"[4, 4]",fi,"[2, 0]",2,0,0.30000000000000004,False,7542
55d6e23469dbc30010b66dc3,free,epochs,True,3,3,"[3, 3]",fi,"[3, 5]",3,5,0.24,False,7085
55d6e23469dbc30010b66dc3,free,epochs,True,4,4,"[5, 3]",fi,"[6, 7]",7,7,1.0,True,5589
55d6e23469dbc30010b66dc3,free,epochs,True,5,1,"[5, 1]",fi,"[2, 0]",0,2,1.0,False,4555
55d6e23469dbc30010b66dc3,free,epochs,True,6,3,"[4, 2]",fi,"[5, 3]",3,3,0.62,True,5059
55d6e23469dbc30010b66dc3,free,epochs,True,7,1,"[1, 5]",fi,"[0, 2]",0,0,0.68,True,11321
55d6e23469dbc30010b66dc3,free,epochs,True,8,3,"[2, 6]",fi,"[3, 5]",5,3,1.0,False,4083
55d6e23469dbc30010b66dc3,free,epochs,True,9,4,"[5, 4]",fi,"[6, 7]",7,7,0.7000000000000001,True,9487
55d6e23469dbc30010b66dc3,free,epochs,True,10,1,"[1, 2]",fi,"[2, 0]",0,0,0.39,True,14996
55d6e23469dbc30010b66dc3,free,epochs,True,11,1,"[1, 4]",fi,"[2, 0]",0,0,1.0,True,4623
55d6e23469dbc30010b66dc3,free,epochs,True,12,3,"[6, 6]",fi,"[5, 3]",5,5,1.0,True,7662
55d6e23469dbc30010b66dc3,free,epochs,True,13,3,"[2, 4]",fi,"[3, 5]",3,3,1.0,True,5267
55d6e23469dbc30010b66dc3,free,epochs,True,14,1,"[4, 1]",fi,"[2, 0]",0,0,1.0,True,9541
55d6e23469dbc30010b66dc3,free,epochs,True,15,1,"[5, 4]",fi,"[2, 0]",2,0,0.63,False,15603
55d6e23469dbc30010b66dc3,free,epochs,True,16,1,"[3, 5]",fi,"[0, 2]",2,0,1.0,False,6021
55d6e23469dbc30010b66dc3,free,epochs,True,17,1,"[5, 5]",fi,"[2, 0]",2,2,1.0,True,7436
